,Made Donation in March 2007
659,0.420383439
276,0.14674716
263,0.27740526
303,0.331617466
83,0.416362362
500,0.630904969
530,0.318667049
244,0.151112585
249,-0.137068897
728,0.097371305
129,0.190619997
534,0.184689248
317,0.274317551
401,0.287231729
696,0.306806839
192,0.184891784
176,0.248514747
571,0.424038589
139,0.103500395
423,0.287465156
563,0.373578051
56,0.27784246
528,0.352198414
101,0.26586984
467,0.24985165
382,0.311605148
466,0.311206032
294,0.1546729
512,0.302446023
659,0.420383439
389,0.321498483
487,-0.011972344
701,0.333581569
419,0.254661098
536,0.204428141
240,0.266024403
508,0.221224145
515,0.170409492
283,0.315699884
650,0.304962097
65,0.304345902
228,0.177351257
741,0.071322176
297,0.319435016
464,0.158592941
63,0.288151952
231,0.310884932
28,0.115150655
248,0.15139741
357,0.204770538
300,0.423824369
726,0.580290788
680,0.221015889
520,0.298485841
254,0.015142301
582,0.241347709
143,0.194915325
98,0.332961457
1,0.248216479
221,0.418755185
352,0.28374262
64,0.11435179
138,0.297202562
745,0.374378848
64,0.11435179
688,0.145900002
623,0.133770011
289,0.267344002
174,0.309869942
690,0.307810349
105,0.193317627
427,0.184210915
48,-0.162699261
14,0.259674892
657,0.044950664
301,0.161900011
455,0.167249339
579,0.293071236
722,0.174225922
98,0.332961457
491,-0.131154872
303,0.331617466
466,0.311206032
65,0.304345902
300,0.423824369
9,0.046921277
622,0.215510492
323,0.123008789
289,0.267344002
568,0.316482214
290,0.27932783
156,0.143279813
464,0.158592941
426,0.161333888
306,0.278658463
4,0.297930443
12,0.289648695
187,0.283625543
406,0.078887695
96,0.287763516
509,0.31990996
733,0.189005934
548,0.086413696
478,0.257457138
501,0.213648813
127,0.331566513
199,0.261521247
299,0.359547012
162,0.270213424
235,0.154487768
23,0.198401984
473,0.292358582
487,-0.011972344
683,0.388681819
303,0.331617466
309,0.010317505
569,0.061808852
34,0.320219224
686,0.53590225
84,0.246816206
733,0.189005934
537,0.406733577
181,0.179578683
453,0.661622592
67,0.333729896
161,0.384048069
307,0.261625305
703,0.24352791
181,0.179578683
246,0.173504706
316,0.311393045
278,0.191015526
346,0.22796063
545,0.297485436
419,0.254661098
694,0.330344882
622,0.215510492
663,0.061488839
262,0.476345948
461,0.263726681
373,0.812034886
233,0.275269071
466,0.311206032
207,0.199472528
263,0.27740526
16,0.02243177
513,0.065131695
449,0.289774997
429,-0.02452493
701,0.333581569
632,0.051550807
529,0.437350048
245,0.29848351
344,0.170115762
353,0.169088281
241,0.323521862
633,0.153823884
624,0.328098684
726,0.580290788
189,0.184678165
138,0.297202562
402,0.16236318
511,0.347430345
590,0.394523909
334,0.196994022
447,0.079710037
119,0.286497447
389,0.321498483
644,0.304534859
423,0.287465156
131,0.030620494
405,-0.162266564
82,0.26451692
643,0.921927755
156,0.143279813
617,0.082029676
574,0.34734419
272,0.259565946
613,0.110056857
545,0.297485436
685,0.182514562
570,0.232626725
537,0.406733577
691,0.157953849
85,0.393936545
483,0.190380598
455,0.167249339
93,0.177842361
744,0.33664344
33,0.158337765
321,0.603678206
523,0.253448661
426,0.161333888
196,0.123458115
301,0.161900011
103,0.116084546
224,0.078282169
454,0.138089127
585,0.069702436
154,0.30619575
