,Made Donation in March 2007
659,0.480749675
276,0.087597365
263,0.281874153
303,0.287629073
83,0.460150537
500,0.754169249
530,0.333541013
244,0.114960902
249,0.016004649
728,0.08309583
129,0.144501153
534,0.143720749
317,0.256758956
401,0.293896682
696,0.313781143
192,0.15010141
176,0.201108742
571,0.442112579
139,0.061453337
423,0.296278677
563,0.419116341
56,0.275426314
528,0.364447403
101,0.268148811
467,0.257896663
382,0.298031914
466,0.338137523
294,0.117140766
512,0.310161251
659,0.480749675
389,0.317991516
487,0.032634705
701,0.370639259
419,0.245565808
536,0.198493288
240,0.217561577
508,0.226838723
515,0.127209181
283,0.323615606
650,0.316326237
65,0.329941263
228,0.121052432
741,0.066465386
297,0.344976755
464,0.117848707
63,0.309890934
231,0.32057485
28,0.09324879
248,0.115133984
357,0.149033869
300,0.48349533
726,0.672176125
680,0.162601052
520,0.300190059
254,0.039866187
582,0.190926971
143,0.194521452
98,0.349573832
1,0.25573826
221,0.474096901
352,0.289593611
64,0.102113741
138,0.235139972
745,0.408785354
64,0.102113741
688,0.104115309
623,0.118027572
289,0.158622428
174,0.289006137
690,0.320014203
105,0.153060331
427,0.126981279
48,0.008501169
14,0.260955038
657,0.046599695
301,0.127647945
455,0.123517097
579,0.285348145
722,0.119900608
98,0.349573832
491,0.010244303
303,0.287629073
466,0.338137523
65,0.329941263
300,0.48349533
9,0.051692677
622,0.174934193
323,0.092091848
289,0.158622428
568,0.341748548
290,0.284202771
156,0.145896532
464,0.117848707
426,0.113674014
306,0.198246038
4,0.247808195
12,0.291840707
187,0.2299851
406,0.055402414
96,0.293869265
509,0.351813666
733,0.147630141
548,0.063657844
478,0.233350107
501,0.172444622
127,0.36431305
199,0.18151885
299,0.393700961
162,0.273267014
235,0.109014525
23,0.169360977
473,0.300286731
487,0.032634705
683,0.423550928
303,0.287629073
309,0.038438268
569,0.052604489
34,0.328817784
686,0.631390917
84,0.256745187
733,0.147630141
537,0.449521764
181,0.143206602
453,0.797659634
67,0.357178265
161,0.419671062
307,0.255307801
703,0.199865842
181,0.143206602
246,0.128902794
316,0.326553777
278,0.154824068
346,0.184568318
545,0.306755357
419,0.245565808
694,0.349210404
622,0.174934193
663,0.074810441
262,0.565960879
461,0.261340294
373,0.897818303
233,0.279300439
466,0.338137523
207,0.198818728
263,0.281874153
16,0.042049703
513,0.052913923
449,0.290787086
429,0.031199152
701,0.370639259
632,0.05231439
529,0.512926902
245,0.250649503
344,0.116230976
353,0.117893612
241,0.291635257
633,0.109557552
624,0.363038382
726,0.672176125
189,0.149938828
138,0.235139972
402,0.121971807
511,0.367051205
590,0.391092725
334,0.200909608
447,0.071481203
119,0.305958514
389,0.317991516
644,0.315775014
423,0.296278677
131,0.044063157
405,0.007948096
82,0.26656708
643,0.942333589
156,0.145896532
617,0.062013565
574,0.387450066
272,0.25691011
613,0.099052997
545,0.306755357
685,0.135449358
570,0.186183337
537,0.449521764
691,0.111985555
85,0.418751699
483,0.140641927
455,0.123517097
93,0.14481243
744,0.374912235
33,0.119074755
321,0.712562482
523,0.237413696
426,0.113674014
196,0.098128691
301,0.127647945
103,0.089437565
224,0.061418552
454,0.077827358
585,0.054679459
154,0.303317546
