,Made Donation in March 2007
659,0.41683957
276,0.178342582
263,0.203198141
303,0.23135038
83,0.514471416
500,0.651536865
530,0.234513971
244,0.113314032
249,0.082476244
728,0.094831911
129,0.139117805
534,0.126059218
317,0.268438404
401,0.203198141
696,0.275166433
192,0.131616729
176,0.198406518
571,0.383840624
139,0.11772172
423,0.282822805
563,0.527115508
56,0.428076089
528,0.442744139
101,0.203198141
467,0.241782174
382,0.326125773
466,0.258398696
294,0.113314032
512,0.242042069
659,0.41683957
389,0.349266734
487,0.100364222
701,0.21664053
419,0.289575571
536,0.203380714
240,0.218520189
508,0.225522727
515,0.113314032
283,0.429717577
650,0.203198141
65,0.263034301
228,0.16646015
741,0.097502151
297,0.429335989
464,0.118679623
63,0.21664053
231,0.316192223
28,0.118593541
248,0.113314032
357,0.163671329
300,0.410794638
726,0.43815367
680,0.134777105
520,0.426286056
254,0.107870031
582,0.156390427
143,0.304698829
98,0.460024808
1,0.298641529
221,0.44395369
352,0.203198141
64,0.125218778
138,0.151029443
745,0.359037194
64,0.125218778
688,0.108267224
623,0.11573244
289,0.145860702
174,0.334369396
690,0.203198141
105,0.184971092
427,0.129707019
48,0.103515418
14,0.203198141
657,0.102754201
301,0.126059218
455,0.118296045
579,0.288161665
722,0.130013497
98,0.460024808
491,0.103515418
303,0.23135038
466,0.258398696
65,0.263034301
300,0.410794638
9,0.10565324
622,0.131616729
323,0.10872904
289,0.145860702
568,0.300056387
290,0.203198141
156,0.154985474
464,0.118679623
426,0.116603207
306,0.185864574
4,0.221156794
12,0.384704505
187,0.135416808
406,0.108015269
96,0.234513971
509,0.21664053
733,0.118492194
548,0.113630251
478,0.270786972
501,0.134141919
127,0.36386214
199,0.135214667
299,0.530883005
162,0.203198141
235,0.12028659
23,0.145841673
473,0.203198141
487,0.100364222
683,0.501460216
303,0.23135038
309,0.112703492
569,0.103029897
34,0.473352516
686,0.613959913
84,0.225525051
733,0.118492194
537,0.501460216
181,0.152505338
453,0.481867283
67,0.415514946
161,0.433768543
307,0.393535716
703,0.144096094
181,0.152505338
246,0.121632784
316,0.398146236
278,0.131616729
346,0.150390143
545,0.203198141
419,0.289575571
694,0.234513971
622,0.131616729
663,0.0968369
262,0.601039302
461,0.328477417
373,0.49039892
233,0.203198141
466,0.258398696
207,0.304698829
263,0.203198141
16,0.103029897
513,0.113630251
449,0.383428521
429,0.086890305
701,0.21664053
632,0.107870031
529,0.574269752
245,0.234568544
344,0.163766005
353,0.122708883
241,0.224738959
633,0.109033122
624,0.21664053
726,0.43815367
189,0.131616729
138,0.151029443
402,0.113314032
511,0.432876937
590,0.332051304
334,0.182348254
447,0.109972773
119,0.258398696
389,0.349266734
644,0.203198141
423,0.282822805
131,0.103029897
405,0.103515418
82,0.203198141
643,0.489603992
156,0.154985474
617,0.113349633
574,0.292882631
272,0.328477417
613,0.103373747
545,0.203198141
685,0.113314032
570,0.187119631
537,0.501460216
691,0.109033122
85,0.429487545
483,0.121632784
455,0.118296045
93,0.131616729
744,0.21664053
33,0.121632784
321,0.48749711
523,0.202380456
426,0.116603207
196,0.112607691
301,0.126059218
103,0.109033122
224,0.107634136
454,0.169765092
585,0.10717641
154,0.305882155
