,Made Donation in March 2007
659,0.477222422506
276,0.0868907210963
263,0.288276316218
303,0.287746744569
83,0.4667346835
500,0.751952913752
530,0.336170451344
244,0.11652116928
249,0.0157729375522
728,0.0807168938556
129,0.147281846308
534,0.141738001306
317,0.257026281045
401,0.298443918594
696,0.312434691374
192,0.153203103771
176,0.203855887733
571,0.437921532212
139,0.0602641723082
423,0.299136705227
563,0.419693838847
56,0.282337580352
528,0.364626312242
101,0.276607485273
467,0.260079038603
382,0.29626677522
466,0.342163161228
294,0.118363224429
512,0.312218156638
659,0.477222422506
389,0.316390605065
487,0.031494109017
701,0.37167657303
419,0.246202041817
536,0.199115656784
240,0.219425903058
508,0.228412007799
515,0.126809409849
283,0.328007093599
650,0.317298913278
65,0.340468798944
228,0.121461728522
741,0.0639575840301
297,0.350318062713
464,0.117271279612
63,0.320428060999
231,0.326816320917
28,0.0952939670242
248,0.116667613059
357,0.149086176863
300,0.485432509926
726,0.663007075021
680,0.159894921277
520,0.30045959024
254,0.0396653506832
582,0.188076787309
143,0.197972915808
98,0.358109474009
1,0.264077866685
221,0.476790550435
352,0.294810114291
64,0.104570931044
138,0.235084340585
745,0.402515874092
64,0.104570931044
688,0.102044662278
623,0.116289724714
289,0.155398994338
174,0.292087878053
690,0.320386751983
105,0.155824436405
427,0.126372369254
48,0.00839148289649
14,0.270462708
657,0.0449318840364
301,0.127603239589
455,0.12304871132
579,0.282120035091
722,0.116972449952
98,0.358109474009
491,0.00980850267899
303,0.287746744569
466,0.342163161228
65,0.340468798944
300,0.485432509926
9,0.0526494449004
622,0.174098435033
323,0.092359307759
289,0.155398994338
568,0.343040266988
290,0.290249362759
156,0.149435117492
464,0.117271279612
426,0.113477880221
306,0.197013467007
4,0.251661163378
12,0.300362761486
187,0.230616857472
406,0.0539908019716
96,0.302658426746
509,0.355883413747
733,0.144116353957
548,0.062297927594
478,0.233602093218
501,0.172525826544
127,0.373496240637
199,0.17967610582
299,0.39694841882
162,0.28096694358
235,0.109920289869
23,0.174617297556
473,0.303829752625
487,0.031494109017
683,0.421135001842
303,0.287746744569
309,0.0379919655362
569,0.0514649341904
34,0.336873277482
686,0.626626475939
84,0.264857361705
733,0.144116353957
537,0.449428252538
181,0.145319794115
453,0.795055094081
67,0.36389096997
161,0.422230834306
307,0.258109576306
703,0.197878893096
181,0.145319794115
246,0.130491021016
316,0.331118696211
278,0.157210966165
346,0.186156482156
545,0.309269934683
419,0.246202041817
694,0.349300807276
622,0.174098435033
663,0.073175210245
262,0.570007071909
461,0.259479487081
373,0.895775221444
233,0.286093428943
466,0.342163161228
207,0.201609748287
263,0.288276316218
16,0.0426729640693
513,0.0517384950226
449,0.292536967693
429,0.0305019190347
701,0.37167657303
632,0.0508919568988
529,0.513946409106
245,0.252096766494
344,0.115693928334
353,0.118048411283
241,0.291119083928
633,0.108072733146
624,0.365307698354
726,0.663007075021
189,0.153064817
138,0.235084340585
402,0.122428209126
511,0.368247038404
590,0.38876697106
334,0.203781333284
447,0.0707335881788
119,0.314964901961
389,0.316390605065
644,0.316837112933
423,0.299136705227
131,0.0443744093862
405,0.00762800893062
82,0.275258185797
643,0.939422008439
156,0.149435117492
617,0.0603790541711
574,0.389776624442
272,0.257692035726
613,0.09776644248
545,0.309269934683
685,0.133652512493
570,0.184556318356
537,0.449428252538
691,0.110076072637
85,0.422387210235
483,0.140350289556
455,0.12304871132
93,0.14869345109
744,0.375252875359
33,0.122138396072
321,0.711266317158
523,0.238087005185
426,0.113477880221
196,0.09942085967
301,0.127603239589
103,0.0912086064321
224,0.0615890383787
454,0.0759113559191
585,0.0533377401918
154,0.306817573473
