,Made Donation in March 2007
659,0.466298817864
276,0.10363192626
263,0.201695572924
303,0.316760418848
83,0.500790432232
500,0.756591065912
530,0.246179309751
244,0.0918018587455
249,0.0172651609235
728,0.0862700418563
129,0.134211540594
534,0.144261700535
317,0.216997495789
401,0.209898793039
696,0.360965439349
192,0.114728441351
176,0.227906736127
571,0.447412808842
139,0.0586198690534
423,0.343707527942
563,0.469718552892
56,0.313630024353
528,0.412190790573
101,0.192374414566
467,0.28658509836
382,0.229148060059
466,0.410882022231
294,0.093329449567
512,0.362481358071
659,0.466298817864
389,0.242495158469
487,0.0332236727771
701,0.268741134808
419,0.236699457358
536,0.219487189272
240,0.247013151675
508,0.248434345485
515,0.100357487212
283,0.373270183874
650,0.225313366652
65,0.352664956819
228,0.140829979645
741,0.0623463740698
297,0.404607110844
464,0.135465874964
63,0.225642874677
231,0.374737035178
28,0.111611053632
248,0.0919232342096
357,0.167379652577
300,0.45828366957
726,0.584161615654
680,0.170510402715
520,0.326779788327
254,0.0490716907872
582,0.201406527883
143,0.157758930193
98,0.398360244144
1,0.29492230471
221,0.430209872397
352,0.206958311153
64,0.121742897554
138,0.2205748001
745,0.333597837268
64,0.121742897554
688,0.113753106314
623,0.114513296467
289,0.171042012261
174,0.305095310443
690,0.227863044736
105,0.178762294448
427,0.131362337609
48,0.0111498112068
14,0.18750569945
657,0.0570498437111
301,0.127995991152
455,0.139363302994
579,0.231087207893
722,0.135970195557
98,0.398360244144
491,0.0130737717457
303,0.316760418848
466,0.410882022231
65,0.352664956819
300,0.45828366957
9,0.0475212224003
622,0.131595825634
323,0.101443579468
289,0.171042012261
568,0.397923580443
290,0.203281489118
156,0.152907574315
464,0.135465874964
426,0.0933738910515
306,0.223384036855
4,0.274980816883
12,0.349061045907
187,0.234159137602
406,0.0647486343286
96,0.218069196354
509,0.25524044938
733,0.151256496228
548,0.0744828921182
478,0.26376458298
501,0.16781043057
127,0.446600341925
199,0.162464545738
299,0.395463177191
162,0.195845174772
235,0.109158888664
23,0.179867759743
473,0.214274952566
487,0.0332236727771
683,0.469836754853
303,0.316760418848
309,0.0484735532105
569,0.0487489310825
34,0.381586024215
686,0.647889128294
84,0.31786930339
733,0.151256496228
537,0.500735880143
181,0.167681455599
453,0.719082289764
67,0.355008309589
161,0.334962271967
307,0.270070951393
703,0.151503760121
181,0.167681455599
246,0.103442276337
316,0.381969066638
278,0.117944003241
346,0.175449169457
545,0.218717093532
419,0.236699457358
694,0.257416028705
622,0.131595825634
663,0.0687918175208
262,0.607172319548
461,0.172201490447
373,0.84728817536
233,0.199944309824
466,0.410882022231
207,0.160876709287
263,0.201695572924
16,0.040223915652
513,0.0621634090367
449,0.329125333177
429,0.0380728715385
701,0.268741134808
632,0.0632948611198
529,0.578482346997
245,0.282093411047
344,0.135445642722
353,0.11054870582
241,0.25001253596
633,0.0888319256921
624,0.263272928602
726,0.584161615654
189,0.114617659867
138,0.2205748001
402,0.0967070641815
511,0.422018984061
590,0.401331386078
334,0.203650623757
447,0.0833109714029
119,0.380710132103
389,0.242495158469
644,0.224932665027
423,0.343707527942
131,0.0418701898801
405,0.0106475725468
82,0.191302974601
643,0.884227318557
156,0.152907574315
617,0.0736841787358
574,0.459312885859
272,0.175107488774
613,0.108464314235
545,0.218717093532
685,0.106079840659
570,0.211427842857
537,0.500735880143
691,0.090554364492
85,0.36928563545
483,0.111714709949
455,0.139363302994
93,0.111121544786
744,0.271825881103
33,0.0964746623791
321,0.681911632429
523,0.276057648757
426,0.0933738910515
196,0.113911316738
301,0.127995991152
103,0.0744156529706
224,0.0598342745957
454,0.0937134388918
585,0.0579971819615
154,0.279144875475
