,Made Donation in March 2007
659,0.598039215686
276,0.169811320755
263,0.169811320755
303,0.169811320755
83,0.598039215686
500,0.598039215686
530,0.359375
244,0.0210526315789
249,0.105263157895
728,0.0210526315789
129,0.169811320755
534,0.221052631579
317,0.221052631579
401,0.169811320755
696,0.277777777778
192,0.0512820512821
176,0.169811320755
571,0.598039215686
139,0.0512820512821
423,0.221052631579
563,0.598039215686
56,0.598039215686
528,0.169811320755
101,0.169811320755
467,0.0210526315789
382,0.598039215686
466,0.169811320755
294,0.0210526315789
512,0.169811320755
659,0.598039215686
389,0.598039215686
487,0.0210526315789
701,0.359375
419,0.221052631579
536,0.105263157895
240,0.169811320755
508,0.105263157895
515,0.0210526315789
283,0.598039215686
650,0.169811320755
65,0.359375
228,0.169811320755
741,0.0210526315789
297,0.598039215686
464,0.221052631579
63,0.359375
231,0.169811320755
28,0.0210526315789
248,0.0210526315789
357,0.169811320755
300,0.598039215686
726,0.598039215686
680,0.169811320755
520,0.598039215686
254,0.105263157895
582,0.169811320755
143,0.0512820512821
98,0.359375
1,0.0512820512821
221,0.598039215686
352,0.169811320755
64,0.105263157895
138,0.169811320755
745,0.598039215686
64,0.105263157895
688,0.0210526315789
623,0.0210526315789
289,0.169811320755
174,0.598039215686
690,0.169811320755
105,0.0512820512821
427,0.169811320755
48,0.105263157895
14,0.169811320755
657,0.0210526315789
301,0.221052631579
455,0.221052631579
579,0.221052631579
722,0.221052631579
98,0.359375
491,0.105263157895
303,0.169811320755
466,0.169811320755
65,0.359375
300,0.598039215686
9,0.105263157895
622,0.221052631579
323,0.0210526315789
289,0.169811320755
568,0.277777777778
290,0.169811320755
156,0.105263157895
464,0.221052631579
426,0.221052631579
306,0.169811320755
4,0.169811320755
12,0.169811320755
187,0.169811320755
406,0.221052631579
96,0.359375
509,0.359375
733,0.221052631579
548,0.0210526315789
478,0.221052631579
501,0.221052631579
127,0.359375
199,0.169811320755
299,0.598039215686
162,0.169811320755
235,0.221052631579
23,0.0512820512821
473,0.169811320755
487,0.0210526315789
683,0.598039215686
303,0.169811320755
309,0.0210526315789
569,0.105263157895
34,0.598039215686
686,0.598039215686
84,0.0210526315789
733,0.221052631579
537,0.598039215686
181,0.0512820512821
453,0.598039215686
67,0.598039215686
161,0.598039215686
307,0.221052631579
703,0.169811320755
181,0.0512820512821
246,0.221052631579
316,0.598039215686
278,0.221052631579
346,0.169811320755
545,0.169811320755
419,0.221052631579
694,0.359375
622,0.221052631579
663,0.105263157895
262,0.598039215686
461,0.221052631579
373,0.598039215686
233,0.169811320755
466,0.169811320755
207,0.0512820512821
263,0.169811320755
16,0.105263157895
513,0.0210526315789
449,0.598039215686
429,0.105263157895
701,0.359375
632,0.105263157895
529,0.598039215686
245,0.169811320755
344,0.221052631579
353,0.169811320755
241,0.598039215686
633,0.0210526315789
624,0.359375
726,0.598039215686
189,0.0512820512821
138,0.169811320755
402,0.0210526315789
511,0.169811320755
590,0.359375
334,0.0210526315789
447,0.0210526315789
119,0.169811320755
389,0.598039215686
644,0.169811320755
423,0.221052631579
131,0.105263157895
405,0.105263157895
82,0.169811320755
643,0.598039215686
156,0.105263157895
617,0.0210526315789
574,0.359375
272,0.221052631579
613,0.105263157895
545,0.169811320755
685,0.0210526315789
570,0.169811320755
537,0.598039215686
691,0.0210526315789
85,0.598039215686
483,0.221052631579
455,0.221052631579
93,0.0512820512821
744,0.359375
33,0.0512820512821
321,0.598039215686
523,0.221052631579
426,0.221052631579
196,0.0210526315789
301,0.221052631579
103,0.0210526315789
224,0.0210526315789
454,0.169811320755
585,0.0210526315789
154,0.598039215686
